building_code,building_name,building_address,lat,lon
FMT,Fairmont Apts.,2629 Portland St.,34.030197900000005,-118.2830802053735
FPM,Facilities Management & Planning Trailer,3450 S. Vermont Ave.,33.9686401,-118.2915681
FRE,Freeman House,1962 Glencoe Way,34.10703209242388,-118.33928106323738
FSA,Founders Apts.,2610 Portland St.,34.03062680808081,-118.28214494949495
GAP,Galen Athletic Pavilion,3400 S. Figueroa St.,33.7833185,-118.280348
GEC,Galen Event Center,3400 S. Figueroa St.,33.7833185,-118.280348
GEH,Max Kade Ctr. I,2714 S. Hoover St.,34.0078132,-118.287227
GER,Gerontology Ctr.,Andrus 3715 McClintock Ave.,34.0202376,-118.29047024114405
GEX,Max Kade Ctr. II,2718 S. Hoover St.,34.0078132,-118.287227
GFS,Grace Ford Salvatori Hall of Letters,Arts and Sciences 3601 Watt Way,34.021295,-118.288030
GLB,General Labs Bldg.,1801 Marengo St.,34.05873630769231,-118.21202907692307
GNH,County General Hospital,1937 Hospital Pl.,32.37461918181818,-99.7480309090909
GPC,Golf Practice Course,1021 Childs Way,34.02232151020408,-118.28958251020407
HAP,Helena Apts.,1220 W. 28th St.,34.029265755319145,-118.2859614680851
HAR,Mary Ormerod Harris Hall,Quinn Wing and Fisher Gallery 823-29 Exposition Blvd.,null,null
HCB,CMSC Hyperbaric Chamber Building,P.O. Box 398 Catalina Island Avalon,null,null
HC1,USC Health Care Consultation Ctr.,1510 San Pablo St.,34.062468555555554,-118.20298022222222
HC2,Health Care Consultation Ctr. 2,1520 San Pablo St.,34.06256587878788,-118.20294633333333
HC3,Norris Health Care Consultation Ctr.,2204 Alcazar St.,34.063369875,-118.202309875
HC4,Estelle Doheny Eye Institute,1537 Norfolk St.,34.06136027675881,-118.20318592219644
HED,HEDCO Petroleum & Chemical Engineering Bldg.,925 Bloom Walk,34.020262448979594,-118.28951234693878
HER,Heritage Hall,3501 Watt Way,34.02276291919192,-118.28639560606061
HHR,Honors House,2710 Severance St.,34.02913888888889,-118.28151644444445
HIL,Hillview Apts.,2605 Severance St.,34.03021432323232,-118.28105597979797
HMR,Hoffman Medical Research Ctr.,2011 Zonal Ave.,34.06030582191781,-118.20638190410959
HNB,HEDCO Neurosciences Bldg.,3641 Watt Way,34.019808,-118.288315
HOH,Hoffman Hall of Business Administration,701 Exposition Blvd.,34.018786500000004,-118.28521267127178
HPB,Huntington Pavilion Bldg.,625 Fair Oaks Ave. Suite 400 Pasadena,null,null
HRA,Health Research Assn.,1640 Marengo St.,34.05988801891235,-118.21383509353132
HRH,Harris Residence Hall,634 W. 34th St.,34.021503693877555,-118.28161040816326
HSA,Health Sciences Alhambra,1000 S. Fremont Ave. Alhambra CA,34.083937,-118.151796
HSH,Hazel and Stanley Hall Financial Services Bldg.,851 Downey Way,34.0203986,-118.28712477041884
HUC,Hebrew Union College,3077 University Ave.,34.0261321010101,-118.28222395959595
IFT,Ickovics Family Trust Bldg. Fine Arts,3001 S. Flower St.,34.024419,-118.276905
IRC,Internationally Themed Residential College,3771 McClintock Ave.,34.019979142857146,-118.29043242857142
IRD,Interns & Residents Dormitory,2020 Zonal Ave.,34.06025132876712,-118.20625806164384
ISE,Information Science Institute East,3811 N. Fairfax Dr. Arlington VA,null,null
ISI,Information Science Institute,4676 Admiralty Way Marina del Rey,33.980405510204086,-118.44042783673468
IYH,USC Jimmy Iovine and Andre Young Hall,3738 Watt Way,34.018637850000005,-118.28834826021816
JEF,Jefferson Bldg.,950 W. Jefferson Blvd.,34.024850545300204,-118.28616651539991
JEP,Joint Educational Project House,801 W. 34th St.,34.022743,-118.28389
JFF,Jill and Frank Fertitta Hall,610 Childs Way,34.0186748,-118.28245925203771
JHH,John Hubbard Hall,Student Administrative Services 700 Childs Way,34.0194719,-118.28404153247774
JKP,Jane Popovich and J. Kristoffer Popovich Hall,611 Exposition Blvd.,34.0188131,-118.28296710128672
JMC,John McKay Ctr.,940 W. 35th St.,34.0231165,-118.28772481840544
JWS,John Williams Scoring Stage,3450 Watt Way,34.0228111,-118.28560771536152
KAM,Keith Administration & Medical Forum Bldg.; Mayer Medical Teaching Ctr.,1975 Zonal Ave.,34.06052379452055,-118.2068772739726
KAP,Kaprielian Hall,3620 S. Vermont Ave.,33.9686401,-118.2915681
KCH,Kerckhoff Carriage House,734 W. Adams Blvd.,34.029667,-118.279611
KDC,Glorya Kaufman International Dance Center,849 W. 34th St.,34.02312651020408,-118.28474224489796
KER,Kerckhoff Hall,734 W. Adams Blvd.,34.029667,-118.279611
KOH,Frank L. King Olympic Hall of Champions,1025 W. 34th St.,34.02447816326531,-118.28775877551021
KSH,University Club at King Stoops Hall,705 W. 34th St.,34.0226342,-118.28299418981271
LAB,La Sorbonne Apts.,1170 W. 31st St.,34.026364,-118.28847489898989
LAC,Los Angeles County + USC Hospital,1200 N. State St.,34.05818038383838,-118.20979694949496
LAW,Elvon and Mabel Musick Law Bldg.,699 Exposition Blvd.,34.0188356,-118.28449481268382
LEI,Lawrence J. Ellison Institute,12414 Exposition Blvd.,34.030686571428575,-118.45613814285714
LHI,Donald P. and Katherine B. Loker Hydrocarbon Inst.,837 Bloom Walk,34.019622049999995,-118.28759272158814
